Crs_ID,Crs_Name,Crs_Duration,Description
76,Ubuntu Server,7,Veniam quod voluptatum.
77,Version Control Systems,4,Eligendi necessitatibus maiores soluta provident.
78,WebSockets in Action,3,Saepe doloremque accusantium.
79,XML for Data,9,Ipsam officiis alias rerum quam.
80,Yarn Package Manager,6,Distinctio laborum assumenda enim atque.
81,Zephyr for IoT,7,Nam voluptates itaque temporibus hic.
82,AR Development,4,Quo ducimus ad.
83,Bash Scripting,5,Ducimus voluptas rem optio sint amet.
84,Cloud Storage Solutions,10,Architecto odio beatae deleniti totam quos.
85,Database Design,9,Ducimus nisi doloribus quae quasi.
86,Express.js Framework,10,Optio quaerat consequuntur inventore.
87,Functional Programming,6,Dolorem atque ab deserunt nisi.
88,Go Language Basics,9,Perspiciatis quaerat voluptatibus aut.
89,Hybrid App Dev,9,Voluptatibus necessitatibus officia corporis.
90,Infrastructure as Code,10,Omnis animi vel consequatur.
91,Java EE,5,Amet ullam magni tempora recusandae veniam.
92,Keras Deep Learning,9,Ad ut tempora recusandae.
93,Load Balancing,7,Perspiciatis ad recusandae.
94,Multithreading in Java,7,Officia corrupti laudantium similique facere.
95,NLP with SpaCy,3,Totam quia praesentium consequatur.
96,OpenStack Intro,10,In dolorem incidunt eum.
97,Penetration Testing,9,Corrupti non aliquid.
98,Quantum ML,4,Quos iusto ipsa minus quibusdam et optio.
99,Redux in React,6,Sint veniam ratione accusamus.
100,Swift for iOS,10,Sapiente accusamus cum ab ad.
